spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
25496,9,2,RENOVACION,Iztapalapa,Ciudad de México,Center,Iztapalapa,19.3696875,-99.0530625,10501,219.0246569,2299977.922,,,Rent,7411,2024-02-26
20687,11,2,PASEO DE LAS LOMAS,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.3695518,-99.2665336,6416,360,2309760,,,Rent,8463,2024-01-26
28832,13,1,ALMOLOYA DE JUAREZ,Almoloya de Juárez,México,Center,,19.3695375,-99.7587031,1200,50,60000,,,Rent,12748,2024-08-12
23536,11,2,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36952687,-99.18054705,22284,523.333251,11661958.17,,,Rent,8463,2024-02-21
27805,9,1,SANTA MARTHA ACATITLA,Iztapalapa,Ciudad de México,Center,,19.3692036,-99.0223831,80,250,20000,,,Rent,15701,2024-06-18
20688,11,2,ACTIPAN,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36919,-99.1798269,2310,,,57179.00335,132083497.7,Sale,8463,2024-01-26
20697,11,2,PASEO DE LAS LOMAS,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.3688458,-99.2669738,13910,368.271547,5122657.219,63962.9529,889724674.8,Rent & Sale,8463,2024-01-26
26153,9,1,RENOVACION,Iztapalapa,Ciudad de México,Center,Iztapalapa,19.3687524,-99.0532386,3940,225,886500,,,Rent,7411,2024-03-21
28547,13,2,SECTOR POPULAR,Iztapalapa,Ciudad de México,Center,,19.3687387,-99.1217709,100,1000,100000,,,Rent,931,2024-07-22
28468,13,1,ACTIPAN,Benito Juárez,Ciudad de México,Center,,19.3686916,-99.1795517,70,,,428.5714286,30000,Sale,15932,2024-07-19
23499,11,2,ACTIPAN,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36853017,-99.18030261,78000,503.950538,39308141.96,,,Rent,8463,2024-02-21
20590,13,2,INSURGENTES MIXCOAC,Benito Juárez,Ciudad de México,Center,,19.3683383,-99.1810161,9,4444,39996,,,Rent,931,2024-01-24
23526,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36828826,-99.25748403,8235,368.271547,3032716.19,,,Rent,8463,2024-02-21
20854,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3674396,-99.2592183,33361,465.185112,15519040.52,,,Rent,13686,2024-01-26
23361,11,2,ACTIPAN,Benito Juárez,Ciudad de México,Center,Insurgentes,19.367328,-99.179584,3250,250,812500,,,Rent,8463,2024-02-21
23215,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36731339,-99.26168674,2880,355,1022400,,,Rent,8463,2024-02-21
23586,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36725048,-99.26341213,4800,370,1776000,,,Rent,8463,2024-02-21
28913,13,2,STA CRUZ ATOYAC,Benito Juárez,Ciudad de México,Center,,19.3670932,-99.1659742,100,1000,100000,,,Rent,931,2024-08-19
28757,13,1,PORTALES NORTE,Benito Juárez,Ciudad de México,Center,,19.3670896,-99.155453,44,,,120454.5455,5300000,Sale,931,2024-08-06
28508,13,2,LOMAS DE SANTA FE,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.36695376,-99.2585102,100,1000,100000,,,Rent,931,2024-07-22
20865,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3668131,-99.2600725,7650,368.271547,2817277.335,,,Rent,8463,2024-01-26
26966,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3668131,-99.2600725,7200,400,2880000,,,Rent,9541,2024-04-25
20873,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3666022,-99.2638533,10800,368.271547,3977332.708,,,Rent,8463,2024-01-26
23518,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3666022,-99.2638533,22792,426.419686,9718957.483,,,Rent,8463,2024-02-21
26885,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,400,251.975269,100790.1076,,,Rent,13855,2024-04-19
29367,9,2,MERCED GOMEZ,Álvaro Obregón,Ciudad de México,Center,,19.3663054,-99.2123623,900,251.975269,226777.7421,,,Rent,13855,2024-08-30
